ANO,MES,COD_NCM,COD_UNIDADE,COD_PAIS,SG_UF,COD_VIA,COD_URF,VL_QUANTIDADE,VL_PESO_KG,VL_FOB,MOVIMENTACAO
2020,9,85043219,11,386,SP,4,817700,2,3,122,Exportação
2020,9,2041000,10,476,AM,0,227600,28,28,391,Exportação
2020,10,13019090,10,603,PA,4,817600,5,5,131,Exportação
2020,10,39269090,10,586,PR,7,917500,9951,9896,49115,Exportação
2020,5,85444900,10,249,SP,4,817700,62,62,7040,Exportação
2020,9,87088000,11,249,SC,4,817600,60,1015,2376,Exportação
2020,10,12024200,10,301,SP,1,817800,24000,24000,33480,Exportação
2020,6,68159990,10,386,SP,4,817700,0,0,10,Exportação
2020,6,40091100,10,249,SP,4,817700,22,22,8881,Exportação
2020,5,44123900,16,815,SC,0,917800,167,79890,35036,Exportação
2020,8,90292010,11,589,SP,4,817700,20,23,3682,Exportação
2020,10,84089090,11,63,SP,7,1017500,66,35283,480721,Exportação
2020,12,84213990,11,528,PR,4,817600,20,48,320,Exportação
2020,4,39174090,10,249,RS,0,817600,9,9,209,Exportação
2020,7,73261900,10,365,SP,4,817700,0,0,2,Exportação
